Model	Count	Correct	False Positive	False Negative	PredictY	PredictN	Acc	Coverage
./answers/tr-Am I making sense:_onestep.json	648	379	143	126	314	334	32.12%	54.92%
./answers/tr-Does it make sense:_onestep.json	1170	663	274	233	622	548	56.19%	99.15%
./answers/tr-_onestep.json	1016	612	314	90	729	287	51.86%	86.10%
./answers/tr-nlvr:_onestep.json	1103	650	343	110	785	318	55.08%	93.47%
./answers/tr-vqa:_onestep.json	1105	653	331	121	760	345	55.34%	93.64%
Ensemble	1176	673	224	279	531	645	57.03%	99.66%
